,SKU Interm 1,SKU EoF,Enzyme,Fermenter,Batch weight (kg),Total fractions (kg),Fractions (#),fermentation_prep,fermentation_time,fermentation_post,harvesting_time,FAM/MF_time,UF_time,stab_time,UF_fractions,UF__Weight ccUF (kg),MF,Stab,lag_receival_fraction,Etanks required (#),min_number_fractions_start_FAM,lag_start_fam,UF_lag,key
229,4645,4643,FDA,V140,96600.0,0.0,0.0,28.0,140.0,9.0,16,35.0,28.932346723044393,4,2,6720.0,0,0,False,0.0,inf,False,14.919011082693947,119
233,4668,4625,PNR,V140,80000.0,0.0,0.0,20.0,34.0,7.0,5,9.924573243350537,23.845381517145388,4,2,5937.499996875,0,1,False,1.0,inf,False,6.947201270345375,120
238,4683,4681,EDX,V200,260000.0,140000.0,7.0,12.0,109.0,7.0,0,18.563268892794376,29.02671755725191,4,4,17111.25,0,0,40.0,0.0,6.0,86.0,7.6889279437609845,121
239,4683,4681,EDX,V218,260000.0,140000.0,7.0,12.0,109.0,7.0,0,18.563268892794376,29.02671755725191,4,4,17111.25,0,0,40.0,0.0,6.0,86.0,7.6889279437609845,122
240,4690,4614,PEC,V100,176000.0,96000.0,8.0,14.0,105.0,8.0,10,45.347539543058,61.27879554571204,4,1,5452.65659987883,0,0,48.0,0.0,10.0,96.0,7.6889279437609845,123
241,4690,4614,PEC,V140,244000.0,136000.0,8.0,14.0,105.0,8.0,10,63.486599297012305,85.79037313634626,4,1,7633.72452284923,0,0,40.0,0.0,7.0,88.0,7.6889279437609845,124
242,4690,4614,PEC,V200,380000.0,224000.0,8.0,14.0,105.0,6.0,10,49.428822495606326,66.79389308206106,4,2,11886.7924443396,0,0,False,0.0,4.0,64.0,7.6889279437609845,125
243,4690,4614,PEC,V218,380000.0,224000.0,8.0,14.0,105.0,6.0,10,49.428822495606326,66.79389308206106,4,2,11886.7924443396,0,0,False,0.0,4.0,64.0,7.6889279437609845,126
244,4725,10244,INV,V100,80000.0,0.0,0.0,10.0,80.0,8.0,0,34.13333333333333,76.98016630582214,4,1,4540.37735607547,0,1,False,1.0,inf,False,9.333333333333334,127
246,4725,10244,INV,V200,174400.0,0.0,0.0,10.0,80.0,8.0,0,37.205333333333336,83.90838127334612,4,2,9898.02263624453,0,1,False,1.0,inf,False,9.333333333333334,128
